date,avarage
1779-09-01,12683
1779-10-01,9.35
1779-11-01,5.7700000000000005
1779-12-01,2269
1780-01-01,2515
1780-02-01,4.08
1780-03-01,5724
1780-04-01,13.732000000000001
1780-05-01,15.756999999999998
1780-06-01,14747
1780-07-01,16183
1780-08-01,12.947000000000001
1780-09-01,8844
1780-10-01,9376
1780-11-01,6706
1780-12-01,2.5839999999999996
1781-01-01,2401
1781-02-01,2267
1781-03-01,4772
1781-04-01,6.922999999999999
1781-05-01,11102
1781-06-01,11678
1781-07-01,14285
1781-08-01,14.140999999999998
1781-09-01,10.303999999999998
1781-10-01,8.546999999999999
1781-11-01,7523
1781-12-01,3.2880000000000003
1782-01-01,0.3410000000000002
1782-02-01,0.6389999999999998
1782-03-01,2565
1782-04-01,8.617999999999999
1782-05-01,10.989999999999998
1782-06-01,13.800999999999998
1782-07-01,13925
1782-08-01,15683
1782-09-01,12398
1782-10-01,8978
1782-11-01,4956
1782-12-01,1921
1783-01-01,-1.4310000000000005
1783-02-01,5.2940000000000005
1783-03-01,4.7989999999999995
1783-04-01,8574
1783-05-01,11819
1783-06-01,14.34
1783-07-01,13069
1783-08-01,13.970999999999998
1783-09-01,9.957999999999998
1783-10-01,7.356999999999998
1783-11-01,2.1959999999999997
1783-12-01,2224
1784-01-01,2596
1784-02-01,989
1784-03-01,3.9189999999999996
1784-04-01,8.142000000000001
1784-05-01,10013
1784-06-01,12803
1784-07-01,14947
1784-08-01,15.860999999999999
1784-09-01,10.265999999999998
1784-10-01,6.8359999999999985
1784-11-01,4.5569999999999995
1784-12-01,3415
1785-01-01,865
1785-02-01,1045
1785-03-01,2289
1785-04-01,6379
1785-05-01,9853
1785-06-01,13.744000000000002
1785-07-01,14468
1785-08-01,14466
1785-09-01,10497
1785-10-01,7.350999999999999
1785-11-01,5526
1785-12-01,1.8730000000000002
1786-01-01,0.7630000000000001
1786-02-01,2657
1786-03-01,5648
1786-04-01,9318
1786-05-01,11.582999999999998
1786-06-01,13035
1786-07-01,15294
1786-08-01,14455
1786-09-01,12158
1786-10-01,7.712000000000001
1786-11-01,5.7410000000000005
1786-12-01,0.7339999999999995
1787-01-01,2845
1787-02-01,2563
1787-03-01,4698
1787-04-01,7.7719999999999985
1787-05-01,11403
1787-06-01,14.369000000000002
1787-07-01,13.450999999999999
1787-08-01,13555
1787-09-01,10.357000000000001
1787-10-01,7.7719999999999985
1787-11-01,5801
1787-12-01,1.7959999999999998
1788-01-01,0.7350000000000001
1788-02-01,3.5810000000000004
1788-03-01,5336
1788-04-01,8.713999999999999
1788-05-01,10428
1788-06-01,13808
1788-07-01,16468
1788-08-01,13885
